short_name,country_name,country_id
ALBANIA,Albania,7
ALGERIA,Algeria,95
ANGOLA,Angola,11
ANGOLALL,Angola,11
ANGOLOPEC,Angola,11
ARGENTIN,Argentina,12
ARMENIA,Armenia,9
AUSTRALI,Australia,20
AUSTRAPEC,Australia,20
AUSTRIA,Austria,18
AZERBAIJAN,Azerbaijan,23
BAHRAIN,Bahrain,35
BANGLADESH,Bangladesh,26
BARBADOS,Barbados,25
BELARUS,Belarus,52
BELGIUM,Belgium,28
BELIZE,Belize,53
BERMUDA,Bermuda,41
BOLIVIA,Bolivia,44
BRAZIL,Brazil,46
BRUNEI,Brunei Darussalam,43
BULGARIA,Bulgaria,32
CANADA,Canada,54
CANAPEC,Canada,54
CHILE,Chile,66
CHILEAPEC,Chile,66
CHILEOLADE,Chile,66
CHINA,China,69
TAIPEI,Chinese Taipei,364
COLOMBIA,Colombia,70
COSTARIC,Costa Rica,76
CROATIA,Croatia,153
CUBA,Cuba,79
CYPRUS,Cyprus,82
CZECH,Czech Republic,85
DENMARK,Denmark,90
DOMINICANR,Dominican Republic,93
ECUADALL,Ecuador,100
ECUADOPEC,Ecuador,100
ECUADOR,Ecuador,100
EGYPT,Egypt (Arab Rep.),105
ELSALVADOR,El Salvador,329
EQGUINEA,Equatorial Guinea,137
ESTONIA,Estonia,104
ESWATINI,Eswatini,338
FINLAND,Finland,115
FRANCE,France,118
GABON,Gabon,122
GAMBIA,Gambia,133
GEORGIA,Georgia,127
GERMANY,Germany,87
GREECE,Greece,138
GRENADA,Grenada,126
GUATEMAL,Guatemala,142
GUYANA,Guyana,146
HAITI,Haiti,155
HONDURAS,Honduras,150
HONGKONG,Hong Kong China,148
HUNGARY,Hungary,157
ICELAND,Iceland,176
INDIA,India,168
INDOAPEC,Indonesia,161
INDONESIA,Indonesia,161
INDOOPEC,Indonesia,161
IRAN,Iran (Islamic Rep.),172
IRAQ,Iraq,171
IRELAND,Ireland,166
ITALY,Italy,179
JAMAICA,Jamaica,182
JAPAN,Japan,184
JAPANAPEC,Japan,184
KAZAKHSTAN,Kazakhstan,196
KOREA,Korea,193
KOREAPEC,Korea,193
KUWAIT,Kuwait,194
LATVIAESTAT,LATVIA,216
LATVIA,Latvia,216
LIBYA,Libya,218
LITHUANIA,Lithuania,211
LUXEMBOU,Luxembourg,214
MALAYSIA,Malaysia,249
MALTA,Malta,244
MAURITIUS,Mauritius,245
MEXAPEC,Mexico,248
MEXICO,Mexico,248
MEXOLADE,Mexico,248
MOROCCO,Morocco,219
MYANMAR,Myanmar,236
MYANUNSD,Myanmar,236
NEPAL,Nepal,264
NETHLAND,Netherlands,260
NZ,New Zealand,267
NZAPEC,New Zealand,267
NICARAGUA,Nicaragua,258
NIGER,Niger,254
NIGERIA,Nigeria,256
NORWAY,Norway,262
OMAN,Oman,270
PANAMA,Panama,274
PAPUANG,Papua New Guinea,279
PARAGUAY,Paraguay,295
PERUAPEC,Peru,277
PERUOLADE,Peru,277
PHILIPP,Philippines,280
POLAND,Poland,282
PORTUGAL,Portugal,294
QATAR,Qatar,297
MOLDOVA,Republic of Moldova,224
ROMANIA,Romania,299
RUSSIA,Russian Federation,301
SARABIA,Saudi Arabia,304
SINGAPOR,Singapore,311
SLOVAKIA,Slovakia,314
SLOVENIA,Slovenia,313
SAFRICA,South Africa,389
SPAIN,Spain,109
SUDAN,Sudan,307
SURINAME,Surinam,321
SWEDEN,Sweden,309
SWITLAND,Switzerland,59
SYRIA,Syria (Arab Rep.),335
TAJIKISTAN,Tajikistan,347
THAILAND,Thailand,345
FYROM,The former Yugoslav Rep. of Macedonia,232
TRINIDAD,Trinidad/Tobago,359
TUNISIA,Tunisia,354
TURKEY,Turkey,356
UKRAINE,Ukraine,366
UAE,United Arab Emirates,2
UK,United Kingdom,124
USA,United States of America,371
USAAPEC,United States of America,371
URUGUAY,Uruguay,373
VENEZOPEC,Venezuela,376
VENEZUELA,Venezuela,376
VIETNAM,Vietnam,380
YEMEN,Yemen,387
